IATA,City
PRG,Prague
LTN,London Luton
FRA,Frankfurt
BOJ,Burgas
BOD,Bordeaux
SOF,Sofia
LHR,London Heathrow
AGP,Malaga
ARN,Stockholm Arlanda
CDG,Paris Charles de Gaulle
IST,Istanbul
CGN,Cologne
STN,London Stansted
MXP,Milan Malpensa
LEI,Almeria
FCO,Rome Fiumicino
PMI,Palma de Mallorca
OSL,Oslo
ORY,Paris Orly
BWE,Braunschweig
RHO,Rhodes
AMS,Amsterdam
CFU,Corfu
BGY,Bergamo
VLC,Valencia
ATH,Athens
DLM,Dalaman
BRU,Brussels
LBG,Le Bourget
OLB,Olbia
GVA,Geneva
NCE,Nice
MIR,Monastir
ZRH,Zurich
AYT,Antalya
WAW,Warsaw
DOH,Doha
BEG,Belgrade
DUS,Dusseldorf
SVQ,Seville
EIN,Eindhoven
BCN,Barcelona
DXB,Dubai
LGW,London Gatwick
ADB,Izmir
BRS,Bristol
TLV,Tel Aviv
KEF,Reykjavik Keflavik
MAN,Manchester
LCA,Larnaca
PVK,Preveza
BJV,Bodrum
BUD,Budapest
HER,Heraklion
VAR,Varna
ZTH,Zakynthos
BRI,Bari
SSH,Sharm El Sheikh
RMF,Marsa Alam
HRG,Hurghada
KGS,Kos
RMU,Murcia
PSR,Pescara
MUH,Marsa Matruh
TIA,Tirana
TLL,Tallinn
